"Word","Frequency"
"heat","4"
"heath","1"
"heav","6"
"heaven","41"
"heavi","6"
"heavier","1"
"heaviest","1"
"heavili","1"
"hebrew","1"
"hecat","1"
"hectic","1"
"hed","1"
"heed","3"
"heedless","2"
"height","12"
"heir","1"
"held","2"
"hell","11"
"hella","2"
"helot","1"
"help","2"
"helpless","1"
"henc","2"
"henceforth","1"
"her","242"
"herald","1"
"herd","4"
"here","91"
"hereaftereven","1"
"hereditari","2"
"heretofor","1"
"heritag","2"
"hero","8"
"heroic","3"
"herself","2"
"hesperus","1"
"hew","1"
"hid","4"
"hideous","2"
"hie","1"
"high","35"
"higher","2"
"highfrom","1"
"highgat","1"
"hight","2"
"hill","28"
"hillock","1"
"him","82"
"himnot","1"
"himself","12"
"hind","1"
"hirel","1"
"his","364"
"hispania","1"
"hiss","2"
"histor","2"
"histori","3"
"historian","1"
"hither","6"
"hive","1"
"hoar","3"
"hoard","2"
"hoari","3"
"hoars","2"
"hold","7"
"hole","1"
"holi","14"
"holiday","2"
"holier","2"
"holiest","2"
"hollow","3"
"holster","1"
"homag","6"
"home","19"
"homili","1"
"honest","2"
"honey","2"
"honorius","1"
"honour","12"
"hoof","2"
"hoofmark","1"
"hope","39"
"hopeless","3"
"horac","1"
"hord","3"
"horizon","1"
"horizonbound","1"
"horn","3"
"horribl","1"
"horrid","3"
"horror","1"
"hors","5"
"horsetail","1"
"host","15"
"hostil","2"
"hot","6"
"hotlier","1"
"hour","35"
"houri","1"
"hous","3"
"household","1"
"hover","3"
"how","53"
"howard","1"
"howev","4"
"howl","6"
"howsoev","1"
"hu","1"
"hue","14"
"hug","1"
"huge","3"
"hulk","1"
"hull","1"
"hum","4"
"human","16"
"humbl","5"
"humbler","1"
"humblest","3"
"hundr","4"
"hung","1"
"hurl","4"
"hurri","1"
"husband","1"
"hush","4"
"hut","2"
"hyaena","2"
"hymettus","1"
"hymn","3"
"i","212"
"ici","2"
"icing","1"
"ida","1"
"ideal","4"
"idl","8"
"idless","2"
"idli","1"
"idol","5"
"idolat","1"
"idolatri","1"
"if","77"
"ignobl","3"
"ignor","1"
"ignoranc","1"
"ilion","1"
"ill","11"
"illtim","1"
"illum","2"
"illyria","1"
"illyrian","1"
"im","2"
"imag","9"
"imagin","1"
"imbrown","1"
"imbu","4"
"imit","1"
"immacul","1"
"immedi","2"
"immedic","2"
"immens","2"
"immort","21"
"immortal","2"
"impair","1"
"impart","2"
"impati","1"
"imped","1"
"impel","1"
"impenetr","1"
"imperi","7"
"imperial","3"
"imperish","1"
"impetu","1"
"impious","2"
"implore","1"
"impregn","2"
"impress","1"
"improv","1"
"in","539"
"inadequ","1"
"inanim","1"
"inborn","2"
"incens","3"
"incess","1"
"inclin","2"
"increas","2"
"incur","1"
"inde","2"
"indec","1"
"inert","1"
"inevit","1"
"infam","1"
"infanc","2"
"infant","4"
"infect","1"
"infern","1"
"infinit","1"
"inflict","1"
"inform","1"
"infus","2"
"inglori","3"
"inhabit","1"
"inhal","2"
"inherit","1"
"inhuman","1"
"injur","1"
"inland","1"
"inmat","1"
"innat","2"
"innoc","2"
"insens","1"
"inspir","4"
"instil","4"
"instinct","1"
"instrument","1"
"insul","1"
"insult","1"
"intemper","1"
"intens","3"
"intent","2"
"intercept","1"
"interchang","1"
"interpos","1"
"interrupt","1"
"interv","1"
"interven","2"
"interview","1"
"into","27"
"intrud","2"
"invad","1"
"invest","1"
"inveter","1"
"inveteraci","1"
"invinc","1"
"inviol","1"
"invis","1"
"invisibl","2"
"invit","3"
"invulner","1"
"ionian","1"
"ire","1"
"iris","3"
"iron","7"
"ironi","1"
"irrevoc","1"
"is","278"
"iskander","1"
"isl","5"
"island","2"
"isles","1"
"it","304"
"itali","5"
"italia","4"
"italian","1"
"its","20"
"itself","19"
"ivi","6"
"jackal","1"
"jade","1"
"janus","1"
"jar","3"
"jargon","1"
"jasper","1"
"jealous","1"
"jealousi","1"
"jest","1"
"jesus","1"
"jet","1"
"jingl","1"
"jocund","3"
"join","6"
"journey","2"
"jove","4"
"joy","31"
"joyaunc","2"
"joyless","1"
"joyous","1"
"jubile","1"
"judg","2"
"judgment","3"
"juli","1"
"julia","1"
"jungfrau","1"
"jura","2"
"just","9"
"justic","1"
"keel","2"
"keen","6"
"keep","11"
"ken","3"
"kept","4"
"key","1"
"keyston","1"
"kibe","1"
"kill","1"
"kind","13"
"kinder","2"
"kindest","1"
"kindl","2"
"kindr","5"
"king","11"
"kingdom","4"
"kingless","1"
"kirtl","2"
"kiss","9"
"knee","6"
"knell","2"
"knelt","2"
"knew","9"
"knife","5"
"knight","3"
"knoll","1"
"knot","1"
"know","38"
"knowledg","4"
"known","14"
"knowt","2"
"labour","5"
"labyrinth","1"
"lacedaemon","1"
"lack","2"
"lad","2"
"ladi","6"
"lady","1"
"lag","1"
"laid","10"
"lair","2"
"lake","12"
"lamb","1"
"lament","2"
"lamp","4"
"lanc","7"
"land","45"
"landgood","2"
"landscap","1"
"languag","3"
"languid","2"
"languor","1"
"lao","1"
"laocoon","1"
"lap","4"
"larg","2"
"larum","3"
"lash","1"
"last","39"
"late","11"
"latent","1"
"later","2"
"latest","2"
"lath","1"
"latian","2"
"latter","1"
"laud","1"
"laugh","8"
"laughter","2"
"laura","1"
"laureat","1"
"laurel","6"
"lausann","1"
"lauwin","2"
"lava","1"
"lave","5"
"lavish","1"
"law","7"
"lawless","2"
"lay","25"
"lazi","1"
"lead","6"
"leader","1"
"leaf","4"
"leafi","1"
"leagu","5"
"lean","5"
"leant","2"
"leap","11"
"learn","15"
"least","9"
"leav","29"
"led","5"
"left","17"
"legend","1"
"legion","4"
"leman","4"
"lend","1"
"length","8"
"lengthen","2"
"lent","1"
"lenten","1"
"lepanto","2"
"lesbian","1"
"less","28"
"lessen","3"
"lesser","1"
"lesson","6"
"lest","6"
"let","48"
"leth","2"
"leucadia","2"
"level","3"
"leviathan","1"
"lewd","1"
"liberti","2"
"licenti","1"
"lick","1"
"lid","1"
"lie","15"
"lieu","1"
"lieuten","1"
"life","63"
"lifeabhor","1"
"lifeench","1"
"lifeth","1"
"lift","6"
"light","33"
"lighter","1"
"lightlimb","1"
"lightn","9"
"lightpois","1"
"lightsom","2"
"like","73"
"lili","2"
"limb","4"
"line","8"
"lineag","1"
"lineament","1"
"linger","9"
"link","8"
"lion","4"
"lip","9"
"lisboa","1"
"list","4"
"listen","3"
"listeneth","1"
"listless","1"
"lit","2"
"littl","26"
"live","33"
"liveli","1"
"livi","1"
"lizard","1"
"lo","12"
"load","2"
"loath","7"
"lochiel","1"
"lock","4"
"locust","1"
"lofti","5"
"loftier","4"
"loftiest","4"
"log","1"
"loiter","3"
"london","1"
"lone","20"
"loneli","2"
"long","62"
"longdesert","1"
"longer","2"
"longest","1"
"look","37"
"loop","1"
"loosen","1"
"lord","16"
"lordl","1"
"lore","4"
"lose","4"
"losel","1"
"loss","2"
"lost","21"
"lot","9"
"loth","1"
"loud","15"
"louder","1"
"loudest","1"
"lour","1"
"love","131"
"loveless","1"
"loveli","3"
"loveliest","3"
"lover","9"
"loverlov","1"
"low","14"
"lower","2"
"lowest","1"
"lowli","3"
"loyalti","1"
"luckless","1"
"lull","2"
"lunar","1"
"lure","3"
"lurk","10"
"lusian","4"
"lusitania","2"
"lust","2"
"lusti","2"
"lustr","2"
"luxuri","5"
"lxxxv","1"
"lxxxvi","1"
"lxxxvii","1"
"lyre","5"
"lyric","2"
"macedon","1"
"macedonia","1"
"machiavelli","1"
"mad","9"
"madden","1"
"maddest","2"
"made","32"
"madmen","1"
"mafra","1"
"magazin","1"
"magic","8"
"magnific","1"
"mahomet","1"
"maid","14"
"maiden","1"
"mail","2"
"main","3"
"maintain","1"
"majest","4"
"majesti","5"
"make","40"
"maker","2"
"malic","1"
"mammon","1"
"man","68"
"mane","1"
"mangl","1"
"manhood","1"
"mani","56"
"maniac","1"
"mankind","7"
"mansion","1"
"mantl","6"
"manywind","1"
"map","1"
"mar","4"
"marathon","3"
"maraud","1"
"marbl","13"
"marceau","1"
"march","1"
"margin","3"
"marialva","1"
"marin","2"
"mark","19"
"marriag","2"
"marshal","1"
"mart","2"
"martial","2"
"martyr","2"
"marvel","12"
"mask","2"
"masqu","1"
"masquerad","1"
"mass","9"
"massi","2"
"mast","3"
"master","5"
"mat","1"
"matador","2"
"match","5"
"matchless","2"
"mate","2"
"matern","2"
"matin","1"
"matron","2"
"matter","3"
"matur","1"
"mauritania","1"
"mausoleum","1"
"maw","2"
"may","78"
"mayst","3"
"maze","2"
"me","95"
"mean","1"
"meaner","4"
"meanest","1"
"meantim","2"
"measur","2"
"mede","1"
"medit","8"
"medium","1"
"meed","1"
"meek","4"
"meet","18"
"megara","1"
"melancholi","3"
"mellow","2"
"melodi","3"
"melt","8"
"memor","1"
"memori","10"
"men","45"
"menac","1"
"mend","1"
"menial","1"
"mention","1"
"mentor","1"
"merchant","1"
"merci","3"
"mere","2"
"merit","3"
"merri","4"
"merrili","1"
"merriment","2"
"met","2"
"meta","1"
"metella","1"
"meteor","3"
"methink","1"
"mid","5"
"middl","1"
"midland","1"
"midmost","1"
"midnight","9"
"midshipman","1"
"midst","6"
"mien","3"
"might","34"
"mighti","19"
"mightier","3"
"mightiest","7"
"mightst","2"
"mild","2"
"milder","1"
"milk","3"
"milki","1"
"milkwhit","1"
"million","5"
"mimic","3"
"mimick","1"
"minaret","3"
"mind","51"
"mine","29"
"miner","1"
"minerva","2"
"mingl","15"
"minion","2"
"minist","1"
"minstrel","4"
"miracl","1"
"mirag","1"
"mirror","6"
"mirth","8"
"misanthrop","1"
"mischief","1"
"miscreat","1"
"miser","1"
"miseri","3"
"miss","2"
"misspent","1"
"mist","2"
"misti","1"
"mistook","1"
"mix","8"
"moan","2"
"mock","5"
"mockeri","2"
"mode","1"
"model","3"
"modern","3"
"moe","1"
"mole","1"
"molest","1"
"moment","16"
"momentari","1"
"monarch","8"
"monarchi","1"
"monast","2"
"monk","2"
"monkish","1"
"monotoni","1"
"monster","1"
"mont","1"
"monument","7"
"mood","6"
"moodi","1"
"moon","4"
"moonbeam","2"
"moonstruck","1"
"moor","4"
"moorish","2"
"mope","1"
"moral","6"
"moralis","1"
"moralist","1"
"morat","2"
"more","115"
"morena","1"
"morn","19"
"morrow","1"
"mortal","28"
"moslem","4"
"mosqu","1"
"moss","2"
"mossi","1"
"most","34"
"mote","3"
"moth","1"
"mother","20"
"mothernot","1"
"motion","3"
"motley","2"
"mould","6"
"moulder","6"
"mouldeth","1"
"mound","4"
"mount","10"
"mountain","54"
"mountainhowitz","1"
"mountainstream","1"
"mourn","15"
"mourner","3"
"mouth","1"
"move","9"
"movest","1"
"mow","1"
"much","19"
"muchtar","1"
"muezzin","1"
"mulet","1"
"multipli","3"
"murder","4"
"murkier","1"
"murmur","7"
"muscovit","2"
"muse","9"
"music","11"
"must","49"
"muster","1"
"mutabl","1"
"mute","4"
"mutil","1"
"mutual","2"
"my","125"
"myriad","1"
"myrtl","1"
"myself","2"
"mysteri","3"
"mystic","2"
"n","3"
"nake","3"
"naked","1"
"name","43"
"nameless","2"
"namesak","1"
"narrow","3"
"nation","29"
"nativ","16"
"natur","39"
"naught","1"
"naval","1"
"navel","1"
"nay","2"
"ne","4"
"near","23"
"nearer","1"
"nearest","1"
"necess","1"
"neck","3"
"nectar","1"
"need","7"
"neer","2"
"neglect","1"
"neglig","1"
"neither","1"
"nemesi","2"
"nemi","1"
"nerv","1"
"nerveless","1"
"nest","4"
"net","1"
"never","43"
"nevervac","1"
"new","18"
"next","1"
"nich","1"
"niggard","1"
"nigh","4"
"night","35"
"nightwind","1"
"nile","2"
"nimbl","2"
"nine","2"
"niob","1"
"nip","2"
"no","105"
"nobil","1"
"nobl","4"
"nobler","5"
"noblest","3"
"nobli","1"
"nod","4"
"nois","1"
"noiseless","1"
"none","30"
"nook","1"
"noon","3"
"noontid","1"
"nor","128"
"north","3"
"northern","1"
"nostril","1"
"not","291"
"note","7"
"noth","14"
"notic","1"
"nought","8"
"nourish","2"
"now","106"
"nubia","1"
"numa","1"
"number","3"
"numer","1"
"nurs","7"
"nurst","1"
"nurtur","4"
"nymph","3"
"nympholepsi","1"
"o","43"
"oak","3"
"oar","3"
"oath","1"
"obey","3"
"object","5"
"obliter","1"
"oblivion","3"
"obloquy","1"
"ocean","21"
"octogenarian","1"
"odor","1"
"odour","1"
"of","924"
"off","2"
"offer","9"
"offere","1"
"offic","1"
"oft","18"
"often","1"
"ofttim","2"
"ogl","1"
"oh","27"
"oil","1"
"old","24"
"olden","2"
"oliv","1"
"olivebranch","1"
"olympus","1"
"omin","1"
"omnipot","3"
"on","248"
"onc","34"
"once","6"
"one","84"
"onehors","1"
"onli","19"
"onnor","1"
"onward","6"
"ope","1"
"open","5"
"opinion","2"
"oppos","1"
"oppress","2"
"oppression","1"
"oppressor","1"
"or","176"
"oracl","4"
"orang","1"
"ordain","2"
"order","1"
"orest","1"
"orison","3"
"ornament","2"
"orphan","1"
"other","36"
"othman","1"
"ottomit","1"
"otway","1"
"ought","1"
"our","80"
"out","21"
"outlaw","2"
"outshin","2"
"outstrip","1"
"outward","1"
"oval","1"
"over","83"
"overboil","1"
"overcast","1"
"overcom","1"
"overflow","2"
"overgaz","1"
"overgrown","1"
"overleap","1"
"overmast","1"
"overpow","1"
"overstept","1"
"overstrung","1"
"overthrew","1"
"overthrow","2"
"overthrown","3"
"overween","1"
"overwhelm","3"
"overwrought","1"
"owe","1"
"owl","2"
"owlet","2"
"own","38"
"pace","1"
"page","17"
"pageant","4"
"paid","2"
"pain","9"
"paint","1"
"painter","1"
"palac","10"
"palatin","1"
"pale","10"
"paler","2"
"palikar","1"
"palisad","1"
"pall","2"
"palla","4"
"pallid","1"
"palpabl","1"
"paltri","4"
"pamper","1"
"pang","10"
"pant","3"
"pantheon","1"
"paphian","1"
"papho","1"
"paradis","4"
"parallel","1"
"paramour","1"
"parasit","1"
"parch","1"
"parchment","1"
"parent","7"
"parga","1"
"pari","1"
"parnassus","3"
"parricid","1"
"part","27"
"parta","1"
"partial","1"
"particl","1"
"partook","1"
"pasha","1"
"pass","42"
"passag","1"
"passer","1"
"passion","23"
"past","18"
"pasth","1"
"pastor","1"
"patch","1"
"path","12"
"pathless","1"
"patienc","2"
"patient","1"
"patriot","4"
"patron","1"
"paus","6"
"pauseth","1"
"pave","6"
"pavilion","1"
"pay","4"
"paynim","2"
"peac","17"
"peak","7"
"peal","4"
"peasant","5"
"peck","1"
"pedantri","1"
"pedestrian","1"
"peep","2"
"peer","1"
"pelagio","1"
"peleus","1"
"pen","3"
"penalti","1"
"penanc","2"
"pencil","2"
"pendulum","1"
"penelop","1"
"penit","1"
"pennant","1"
"pensiv","5"
"pent","1"
"peopl","10"
"perceiv","1"
"perchanc","12"
"perfect","2"
"perfidi","1"
"perforc","1"
"perhap","1"
"peril","5"
"perish","10"
"perman","1"
"permit","2"
"perpetu","2"
"persia","1"
"persian","2"
"person","1"
"personag","1"
"pervad","3"
"petrarch","3"
"petti","5"
"pettiest","1"
"phalanx","2"
"phantasi","5"
"phantom","4"
"phase","1"
"philanthropi","1"
"philip","1"
"philosoph","3"
"philosophi","2"
"phlegethon","1"
"phlegm","1"
"phoebus","1"
"phosphor","1"
"phyle","1"
"pibroch","1"
"pict","1"
"pictur","1"
"piecem","1"
"pierc","5"
"pierceth","1"
"pierr","1"
"pieti","1"
"pile","11"
"piledsweet","1"
"pilgrim","10"
"pilgrimag","4"
"pillar","6"
"pillow","1"
"pilot","1"
"pindus","2"
"pine","3"
"pinion","2"
"pinnacl","3"
"pious","1"
"pipe","3"
"piqu","2"
"piraeus","1"
"pirat","1"
"pitch","1"
"piti","4"
"pitiless","1"
"pizarro","1"
"place","19"
"placid","2"
"plagu","2"
"plain","24"
"plaint","1"
"plan","3"
"plank","1"
"plant","4"
"planter","1"
"play","10"
"playth","1"
"pleas","5"
"pleasant","3"
"pleasaunc","2"
"pleasur","15"
"plenteous","1"
"plenti","1"
"plod","4"
"plough","3"
"plumag","2"
"plume","1"
"plunder","5"
"plung","5"
"pluto","2"
"po","1"
"poesi","1"
"poet","4"
"poetic","1"
"poetri","2"
"point","5"
"pois","1"
"poison","4"
"pole","1"
"polici","1"
"polish","3"
"pollut","4"
"pomp","6"
"pompey","1"
"ponder","4"
"poniard","1"
"poor","6"
"popul","2"
"popular","1"
"porphyri","1"
"port","2"
"portal","2"
"portend","1"
"portion","3"
"possess","4"
"possest","1"
"post","1"
"poster","1"
"potent","2"
"pour","11"
"pout","1"
"power","27"
"prais","11"
"pranc","1"
"prate","3"
"prattl","1"
"pray","2"
"prayer","5"
"preced","1"
"precinct","1"
"precious","1"
"precipic","3"
"precipit","1"
"precis","1"
"predestin","1"
"prefer","2"
"prepar","6"
"prescrib","1"
"presenc","1"
"present","6"
"preserv","4"
"press","5"
"pressur","1"
"prest","1"
"pretend","1"
"pretext","1"
"prevail","1"
"previsa","1"
"prey","8"
"preybird","1"
"pri","1"
"prick","1"
"pride","20"
"priestess","1"
"priesthood","1"
"primal","1"
"prime","1"
"princ","5"
"print","1"
"prison","2"
"privat","1"
"prize","8"
"proceed","2"
"proclaim","3"
"proclaimeth","2"
"proffer","1"
"profound","1"
"profus","1"
"prohibit","1"
"project","1"
"prolong","3"
"prometheus","1"
"promis","7"
"promontori","1"
"prone","1"
"pronounc","1"
"proof","1"
"proper","1"
"prophet","8"
"proport","2"
"proscrib","1"
"prose","2"
"prospect","2"
"prosper","1"
"prostitut","1"
"prostrat","2"
"proteus","1"
"protract","2"
"proud","26"
"prove","3"
"provid","1"
"provinc","1"
"provok","1"
"prow","2"
"prowess","1"
"prowl","1"
"psalmist","1"
"psych","1"
"public","1"
"puls","1"
"punish","3"
"puppet","1"
"purchas","1"
"pure","6"
"purer","2"
"purest","1"
"purg","1"
"purifi","2"
"puriti","2"
"purpl","6"
"purpos","2"
"pursu","6"
"pursuit","1"
"put","2"
"pyramid","5"
"pyrene","1"
"pythian","2"
"quaf","2"
"quaff","1"
"quaint","1"
"quak","2"
"quarri","1"
"queen","12"
"quell","4"
"quench","1"
"quenchless","1"
"quest","1"
"quick","7"
"quiet","3"
"quir","1"
"quit","8"
"quito","1"
"quiver","1"
"quot","1"
"race","13"
"radcliff","1"
"radianc","1"
"radiant","1"
"rage","7"
"rail","1"
"rain","7"
"rainbow","3"
"rais","8"
"rake","2"
"ramazani","1"
"ran","1"
"rank","7"
"rankl","1"
"ransom","1"
"rapid","1"
"rapin","2"
"rapt","1"
"raptur","3"
"rare","8"
"rash","2"
"rather","3"
"rattl","2"
"ravag","3"
"rave","4"
"ravenna","1"
"raw","1"
"ray","14"
"re","1"
"reach","2"
"read","4"
"readi","3"
"real","1"
"realiti","1"
"realm","9"
"reanim","1"
"reap","8"
"reappear","1"
"rear","17"
"reascend","1"
"reason","6"
"reassum","1"
"rebeck","1"
"rebel","3"
"rebound","1"
"rebuild","2"
"rebuilt","1"
"rebuoy","1"
"recal","4"
"reced","4"
"receiv","2"
"recess","2"
"reck","3"
"reckless","3"
"reckon","1"
"reckt","1"
"reclaim","2"
"reclin","3"
"recoil","1"
"recollect","4"
"record","8"
"recount","1"
"recur","1"
"red","14"
"redder","1"
"redeem","5"
"redempt","2"
"redress","1"
"redund","1"
"reed","3"
"reek","4"
"reel","2"
"reev","1"
"refil","1"
"refit","1"
"reflect","3"
"reflow","1"
"reft","3"
"refug","7"
"regain","1"
"regard","2"
"regardless","1"
"region","3"
"regret","2"
"rehears","2"
"reign","9"
"rein","2"
"reject","1"
"rejoic","1"
"rejoin","1"
"relaps","1"
"relat","1"
"reli","1"
"relic","9"
"relief","2"
"religion","2"
"relish","1"
"reluct","4"
"remain","8"
"remaineth","2"
"rememb","4"
"remembr","3"
"remind","2"
"remnant","5"
"remors","2"
"remorseless","1"
"remot","6"
"remount","1"
"remov","4"
"rend","2"
"render","1"
"renew","8"
"renov","1"
"renown","1"
"rent","8"
"repaid","1"
"repair","4"
"repay","1"
"repeat","2"
"repent","3"
"repeopl","2"
"repin","1"
"replac","2"
"replenish","3"
"repli","1"
"repos","10"
"reproach","1"
"reprov","1"
"reptil","1"
"repugn","1"
"requiem","1"
"requir","1"
"research","2"
"resembl","1"
"reserv","2"
"resign","4"
"resolv","3"
"resort","2"
"respir","2"
"respons","1"
"rest","19"
"restless","4"
"restor","4"
"restraint","1"
"resum","4"
"resurrect","1"
"retain","1"
"retir","2"
"retiressh","1"
"retreat","1"
"retribut","3"
"retriev","1"
"retrospect","1"
"return","8"
"reveal","1"
"revel","12"
"revelri","2"
"rever","4"
"reveri","2"
"revers","1"
"reviv","3"
"revivifi","1"
"revolt","1"
"reward","3"
"rey","1"
"rhaetian","1"
"rhine","8"
"rhone","4"
"rhyme","1"
"rhymeth","1"
"rialto","1"
"rib","1"
"ribbon","1"
"rich","8"
"richer","1"
"richmond","1"
"ride","5"
"rider","2"
"ridg","1"
"ridicul","1"
"rienzi","1"
"rife","3"
"rifl","2"
"right","14"
"rill","4"
"rind","1"
"ring","2"
"ringlet","1"
"riot","2"
"ripe","2"
"ripen","1"
"rippl","3"
"rise","30"
"riseth","1"
"rite","2"
"rival","4"
"rive","1"
"riven","2"
"river","10"
"rivet","1"
"road","2"
"roam","8"
"roar","16"
"robber","4"
"robe","7"
"rock","29"
"rocki","3"
"rod","3"
"roguish","1"
"roll","23"
"rollest","1"
"roman","15"
"romanc","2"
"romant","2"
"rome","24"
"roof","6"
"room","2"
"root","9"
"rosari","1"
"rose","15"
"rosi","2"
"rot","6"
"rotambit","1"
"rough","2"
"round","24"
"roundelay","1"
"rous","6"
"rousseau","2"
"rove","3"
"row","3"
"royal","2"
"rude","10"
"rudecarv","1"
"rue","1"
"ruffl","1"
"rug","2"
"ruin","22"
"rule","3"
"ruler","2"
"run","6"
"rung","1"
"rush","9"
"rust","2"
"rustic","3"
"rustl","1"
"ruth","1"
"sabbath","1"
"sabin","1"
"sabl","3"
"sabr","5"
"sacerdot","1"
"sackcloth","2"
"sacr","11"
"sacrif","1"
"sacrific","2"
"sad","16"
"sadden","3"
"sadder","1"
"saddest","1"
"sadduce","1"
"safer","1"
"safeti","2"
"sage","10"
"sager","1"
"sagest","1"
"said","5"
"sail","12"
"sailer","1"
"sailor","2"
"saint","4"
"saintship","1"
"saith","1"
"sake","5"
"salli","1"
"same","22"
"samian","1"
"sanctifi","1"
"sanctuari","4"
"sand","5"
"sandal","1"
"sang","2"
"sanguin","1"
"sanguinetto","1"
"sank","1"
"santa","2"
"santon","1"
"sap","3"
"sappho","1"
"saragoza","1"
"sarcophagus","1"
"sate","8"
"satieti","2"
"satirist","1"
"satt","1"
"saturn","1"
"saturnalia","1"
"saunter","1"
"savag","5"
"save","33"
"saw","23"
"saxon","2"
"say","9"
"scale","4"
"scallop","1"
"scalp","1"
"scan","2"
"scanti","2"
"scar","2"
"scarc","20"
"scare","1"
"scarf","3"
"scarv","1"
"scath","1"
"scatter","11"
"scene","36"
"sceptr","4"
"scheme","3"
"schiller","1"
"school","1"
"schoolboy","2"
"scimitar","3"
"scion","1"
"scipio","2"
"scof","2"
"scoff","1"
"scope","1"
"scorch","4"
"scorcheth","1"
"scorn","7"
"scorpion","1"
"scott","1"
"scourg","2"
"scourger","1"
"scream","1"
"screen","1"
"scribbl","1"
"scroll","1"
"scud","1"
"sculptor","1"
"sculptur","1"
"scyth","3"
"sea","25"
"seal","4"
"seaman","1"
"seamew","1"
"sear","1"
"search","2"
"searment","1"
"season","3"
"seat","7"
"seawe","1"
"second","3"
"secret","7"
"sect","1"
"secur","3"
"sedat","1"
"see","38"
"seed","4"
"seek","20"
"seem","39"
"seen","21"
"seest","1"
"seiz","5"
"select","1"
"self","11"
"selfish","2"
"selictar","1"
"semblanc","2"
"senat","3"
"send","4"
"sens","6"
"sent","1"
"sentinel","1"
"separ","2"
"sepulchr","8"
"serai","1"
"seraph","2"
"seren","7"
"serv","2"
"servil","1"
"set","6"
"settl","2"
"seven","1"
"seventh","1"
"sever","3"
"sevill","1"
"sevilla","1"
"shade","13"
"shadi","2"
"shadow","14"
"shaft","4"
"shaftless","1"
"shaggi","4"
"shake","13"
"shaken","1"
"shakspear","1"
"shall","100"
"shallow","2"
"shalt","6"
"shame","14"
"shameless","1"
"shape","9"
"share","11"
"sharer","1"
"sharp","3"
"shatter","7"
"shawl","1"
"she","66"
"sheath","4"
"shed","9"
"sheen","6"
"sheet","2"
"shell","3"
"shelter","2"
"shent","1"
"shepherd","5"
"shi","1"
"shield","3"
"shine","13"
"ship","2"
"shirt","1"
"shiver","4"
"shock","11"
"shone","4"
"shook","2"
"shoon","1"
"shore","43"
"shorn","1"
"short","3"
"shot","1"
"should","45"
"shouldst","2"
"shout","4"
"show","13"
"shower","6"
"shown","1"
"shrank","2"
"shredless","1"
"shriek","4"
"shrill","3"
"shrine","19"
"shrink","9"
"shrive","2"
"shroud","5"
"shrub","1"
"shrug","1"
"shrunk","2"
"shrunken","1"
"shun","5"
"shut","3"
"shylock","1"
"sick","3"
"sicken","3"
"sickl","1"
"side","13"
"sierra","1"
"sigh","26"
"sight","18"
"sign","1"
"signal","2"
"signatur","1"
"signific","1"
"silenc","8"
"silent","11"
"silver","3"
"simpl","5"
"simpler","1"
"sin","4"
"sinc","18"
"sincer","1"
"sing","9"
"singl","4"
"sink","18"
"sinkssh","1"
"sir","2"
"sire","9"
"siren","1"
"siroc","1"
"sister","7"
"sit","8"
"site","4"
"size","1"
"skeleton","2"
"ski","1"
"skil","2"
"skill","9"
"skim","1"
"skulk","1"
"skull","2"
"sky","26"
"slab","1"
"slacken","1"
"slain","4"
"slainsh","1"
"slake","1"
"slaughter","7"
"slave","18"
"slaveri","1"
"slavesth","1"
"slavish","2"
"sleep","14"
"sleepless","3"
"slept","2"
"slight","2"
"slime","1"
"slope","3"
"slow","5"
"slower","1"
"slowli","6"
"sluggard","1"
"sluggish","2"
"slumber","4"
"small","6"
"smile","29"
"smiling","1"
"smoke","4"
"smooth","5"
"smoother","2"
"smote","1"
"smug","1"
"snake","1"
"snare","2"
"snatch","2"
"sneer","3"
"snow","7"
"snowclad","1"
"snowi","6"
"snuff","1"
"so","96"
"soar","7"
"sober","1"
"social","1"
"societi","2"
"soever","1"
"soft","21"
"soften","1"
"softer","2"
"soil","7"
"sojourn","3"
"solac","1"
"soldier","5"
"sole","5"
"solemn","9"
"solitari","6"
"solitud","8"
"sombr","2"
"some","57"
"someth","6"
"sometim","1"
"son","26"
"song","22"
"songless","1"
"soon","13"
"sooth","16"
"sootheth","1"
"sophia","2"
"sophist","6"
"sophistri","1"
"soract","2"
"sore","6"
"sorrow","11"
"sought","18"
"soul","47"
"soulhaunt","1"
"sound","21"
"sourc","5"
"southern","1"
"sovereign","4"
"sovereignti","1"
"sown","2"
"space","3"
"spacious","2"
"spain","15"
"spake","3"
"span","4"
"spaniard","1"
"spanish","6"
"spare","8"
"spark","1"
"sparkl","8"
"spartan","1"
"speak","9"
"spear","2"
"spectr","2"
"specul","1"
"sped","2"
"speech","1"
"speechless","2"
"speed","3"
"spell","6"
"spent","1"
"sphere","2"
"spill","1"
"spilt","1"
"spine","1"
"spire","1"
"spirit","32"
"splendid","3"
"splendour","6"
"spoil","12"
"spoiler","5"
"spoke","1"
"sport","2"
"spot","19"
"spous","1"
"spouseless","1"
"spout","1"
"spray","2"
"spread","12"
"spring","20"
"sprinkl","2"
"spruce","1"
"sprung","5"
"spur","2"
"spurn","6"
"squadron","1"
"st","5"
"stagger","1"
"staid","1"
"stain","4"
"stainless","2"
"stalk","3"
"stamboul","1"
"stamp","4"
"stand","30"
"standard","2"
"standest","2"
"star","24"
"stare","2"
"starlight","1"
"starlik","1"
"starri","3"
"start","4"
"startl","1"
