Word,Frequency,Quote,Location ,Latitude,Longitude
silent,11,All silently their tears of love instil ,Leman (Lake Geneva),42.57150815,-88.46007504
sing,9, His life an infancy  and sings his fill ,Leman (Lake Geneva),42.57150815,-88.46007504
soft,21,Torn ocean roar  but thy soft murmuring,Leman (Lake Geneva),42.57150815,-88.46007504
sound,21,  Sounds sweet as if a sister voice reproved ,Leman (Lake Geneva),42.57150815,-88.46007504
voice,20, Sounds sweet as if a sister voice reproved ,Leman (Lake Geneva),42.57150815,-88.46007504
voice,20,Starts into voice a moment  then is still ,Leman (Lake Geneva),42.57150815,-88.46007504
whisper,6,There seems a floating whisper on the hill ,Leman (Lake Geneva),42.57150815,-88.46007504
call,19,Calls for my spirit  homage  yet it yields,Arno,43.7326667,11.01411198
laugh,8,To laughing life  with her redundant horn ,Arno,43.7326667,11.01411198
bard,13,Proscribed the bard whose name for evermore,Florence,43.76929109,11.2554683
sang,2,Sang ladye love and war  romance and knightly worth,Forence ,43.76929109,11.2554683
sigh,26, Who thinks that wanton thing is won by sighs ,Florence,43.76929109,11.2554683
sigh,26, One who   twas said  still sighed to all he saw ,Florence ,43.76929109,11.2554683
silenc,8,Now masked by silence or withheld by pride ,Florence,43.76929109,11.2554683
music,11,That music in itself  whose sounds are song ,Tuscany,43.77276531,11.24793218
siren,1,over him who formed the Tuscan  siren tongue ,Tuscany,43.77276531,11.24793218
speech,1, The poetry of speech   No  even his tomb,Tuscany,43.77276531,11.24793218
hear,15,To hear  to see  to feel  and to possess,Dian ,43.90859537,8.083487075
hum,4,But midst the crowd  the hum  the shock of men ,Dian ,43.90859537,8.083487075
say,9,And have their country  marbles nought to say ,Canova ,44.20461547,8.248303884
bard,13,The bards of Hell and Chivalry   first rose,Cruscan (La Crusca),44.83258952,11.67617244
lyre,5,No strain which shamed his country  creaking lyre ,Cruscan (La Crusca),44.83258952,11.67617244
oh,27,Oh  victor unsurpassed in modern song ,Cruscan (La Crusca),44.83258952,11.67617244
quiet,3, And the soft quiet hamlet where he dwelt,Arqua,45.27080983,11.71861195
soft,21,And the soft quiet hamlet where he dwelt,Arqua  ,45.27080983,11.71861195
bard,13,Thy choral memory of the bard divine ,Venice,45.44588448,12.31722979
bespeak,1, Bespeaks the pageant of their splendid trust ,Venice,45.44588448,12.31722979
boast,11,Than when she was a boast  a marvel  and a show ,Venice,45.44588448,12.31722979
choral,1, Thy choral memory of the bard divine ,Venice,45.44588448,12.31722979
echo,13,   In Venice  Tasso  echoes are no more ,Venice,45.44588448,12.31722979
music,11,  And music meets not always now the ear ,Venice,45.44588448,12.31722979
sigh,26,I stood in Venice  on the Bridge of Sighs ,Venice,45.44588448,12.31722979
sigh,26,with a sigh  I deem thou mightst have been to me,Venice  ,45.44588448,12.31722979
silenc,8,And the wolf dies in silence   Not bestowed,Venice,45.44588448,12.31722979
silent,11,And silent rows the songless gondolier ,Venice,45.44588448,12.31722979
songless,1,And silent rows the songless gondolier ,Venice,45.44588448,12.31722979
cri[es],4,Kissing its cries away as these awake  ,Rhone,45.73608272,4.61286232
laugh,8, Laughing the clouds away with playful scorn ,Rhone,45.73608272,4.61286232
thunder,16,   And fling their thunderbolts from hand to hand ,Rhone,45.73608272,4.61286232
thunder,16, With night  and clouds  and thunder  and a soul,Rhone,45.73608272,4.61286232
voice,20,Of your departing voices  is the knoll,Rhone,45.73608272,4.61286232
thunder,16,And in Chimari heard the thunder hills of fear ,Mont Blanc,45.8563602,6.889876924
loudest,1, The loudest still the tempest leaves behind ,France,46.22761662,2.21271713
thunder,16,Streams like the thunder storm AGAINST the wind ,France,46.22761662,2.21271713
voice,20,Till by the voice of him and his compeers,France ,46.22761662,2.21271713
loud,15, Which are his shade on high  and the loud roar,Clarens,46.44233989,6.893698859
soft,21,His soft and summer breath  whose tender power,Clarens  ,46.44233989,6.893698859
word,18,Who worship him with notes more sweet than words ,Clarens  ,46.44233989,6.893698859
bard,13,Historian  bard  philosopher combined , Lausanne  and Ferney,46.52650484,6.64081446
call,19,Thoughts which should call down thunder  and the flame,Lausanne  and Ferney,46.52650484,6.64081446
thunder,16,Thoughts which should call down thunder  and the flame,Lausanne  and Ferney,46.52650484,6.64081446
aloud,2,Back to the joyous Alps  who call to her aloud ,Alps,46.92587498,9.645967949
amphitheatr,1,Nature volcanic amphitheatre , Alps,46.92587498,9.645967949
ask,8,That ask the eye so here condense thy soul,Alps,46.92587498,9.645967949
call,19,Back to the joyous Alps  who call to her aloud ,Alps,46.92587498,9.645967949
music,11,All musical in its immensities ,Alps,46.92587498,9.645967949
shriek,4,Unsepulchred they roamed  and shrieked each wandering ghost ,Alps,46.92587498,9.645967949
sound,21,And wonderful  and deep  and hath a sound ,Alps,46.92587498,9.645967949
thunder,16,The avalanche the thunderbolt of snow ,Alps,46.92587498,9.645967949
thunder,16, The thundering lauwine might be worshipped more ,Alps  ,46.92587498,9.645967949
clank,2,Clank over sceptred cities  nations melt,Austria,47.51713717,14.54835352
avouch,1,At what   Can he avouch  or answer what he claimed ,Gallic (France),47.76101591,3.183370209
boast,11,  If not  over one fall n despot boast no more ,Gaul (France),47.76101591,3.183370209
deaf,1,With a deaf heart which never seemed to be,Gallic  (France),47.76101591,3.183370209
soft,21,The brilliant  fair  and soft  the glories of old days ,Rhine   ,49.23310754,8.386416415
hymn,3,Their praise is hymned by loftier harps than mine ,Ardennes ,49.76310841,4.626786896
song,22,And partly that bright names will hallow song ,Ardennes ,49.76310841,4.626786896
sound,21,The midnight brought the signal sound of strife ,Ardennes ,49.76310841,4.626786896
thunder,16,The thunder clouds close over it  which when rent,Ardennes ,49.76310841,4.626786896
drum,3,And near  the beat of the alarming drum,Cameron (Cameroon),5.688130958,12.93832169
thunder,16,And the deep thunder peal on peal afar ,Cameron (Cameroon),5.688130958,12.93832169
ah,12,Ah  then and there was hurrying to and fro,Belgium,50.50342927,4.469247588
beat,5,A thousand hearts beat happily  and when,Belgium,50.50342927,4.469247588
echo,13,As if the clouds its echo would repeat ,Belgium,50.50342927,4.469247588
hear,15,Did ye not hear it  No   twas but the wind ,Belgium,50.50342927,4.469247588
hear,15, Did ye not hear it  No   twas but the wind ,Belgium,50.50342927,4.469247588
knell,2,But hush  hark  a deep sound strikes like a rising knell ,Belgium,50.50342927,4.469247588
revelri,2,There was a sound of revelry by night,Belgium,50.50342927,4.469247588
sigh,26,The life from out young hearts  and choking sighs,Belgium ,50.50342927,4.469247588
soft,21, Soft eyes looked love to eyes which spake again,Belgium ,50.50342927,4.469247588
sound,21,There was a sound of revelry by night ,Belgium,50.50342927,4.469247588
sound,21,But hush  hark  a deep sound strikes like a rising knell ,Belgium ,50.50342927,4.469247588
sound,21,But hark  that heavy sound breaks in once more ,Belgium ,50.50342927,4.469247588
sound,21,That sound  the first amidst the festival ,Belgium ,50.50342927,4.469247588
soft,21,And there was one soft breast  as hath been said ,Drachenfels,50.66442096,7.209926516
clank,2,And heavy though it clanked not  worn with pain,Waterloo,50.7203412,4.39801829
command,5,An empire thou couldst crush  command  rebuild ,Waterloo,50.7203412,4.39801829
drum,3,While the deep war drum sound announced the close of day ,Waterloo,50.7203412,4.39801829
laughter,2, Where Revel calls  and Laughter  vainly loud ,Waterloo,50.7203412,4.39801829
louder,1,Of louder minstrels in these later days,Waterloo,50.7203412,4.39801829
minstrel,4, Of louder minstrels in these later days,Waterloo,50.7203412,4.39801829
say,9,Such hours  gainst years of life  say  would he name threescore ,Waterloo,50.7203412,4.39801829
say,9, Their children lips shall echo them  and say ,Waterloo,50.7203412,4.39801829
shout,4, The shouts are France Spain Albion Victory,Waterloo,50.7203412,4.39801829
song,22,Oh  victor unsurpassed in modern song ,Waterloo,50.7203412,4.39801829
utter,2,Which uttered  to the hearer eye appear,Waterloo,50.7203412,4.39801829
voice,20,Soon shall thy voice be lost amid the throng,Waterloo,50.7203412,4.39801829
voice,20, Thy trumpet voice  though broken now and dying ,Waterloo,50.7203412,4.39801829
wail,3, Doomed to bewail the blasphemy of laws,Waterloo,50.7203412,4.39801829
ask,8,Ask ye Boeotian shades the reason why,Thamis (River Thames),51.50669567,-0.117148997
alarm,1,And near  the beat of the alarming drum,Brunswick ,52.26843268,10.52814118
bid,10,  That feels relief by bidding sorrow flow,England,52.35591637,-1.173978082
harp,3,  Tore down those remnants with a harpy hand ,England,52.35591637,-1.173978082
laugh,8,Whereat the urchin points and laughs with all his soul,England,52.35591637,-1.173978082
laugh,8,  The laughing dames in whom he did delight,England,52.35591637,-1.173978082
laugh,8,Whereat the urchin points and laughs with all his soul,England,52.35591637,-1.173978082
say,9,If ancient tales say true nor wrong these holy men,England,52.35591637,-1.173978082
sing,9,Now Paphian girls were known to sing and smile,England,52.35591637,-1.173978082
boast,11,Still does he mark it with triumphant boast,Moors,53.35707561,-1.596675804
boast,11,But most the modern Pict ignoble boast ,Caledonia  (Scotland),56.88663204,-4.26793026
call,19, The Southern Scott  the minstrel who called forth,Scottland ,56.88663204,-4.26793026
